,text_clean,label
0,warung milik usaha pabrik tahu sudah puluh tahun kenal buat tahu putih bandung tahu kualitas padu ahli masak padu kretivitas jadi warung saji menu utama bahan tahu tambah menu umum seperti ayam semua selera indonesia harga cukup jangkau jangan lewat tahu bletoka tidak kalah yang asli tegal,positive
1,mohon ulama lurus k212 mmbri hujjah partai apa harus diwlh suara islam pecah pecah,neutral
2,lokasi strategis jalan sumatra bandung tempat nyaman utama sofa lantai 2 paella enak sangat pas makan minum bir dingin appetiser juga enak enak,positive
3,betapa bahagia diri saat unboxing paket barang bagus tetap beli,positive
4,aduh jadi mahasiswa jangan sombong dong kasih kartu kuning segala ajar dulu baik usah ikut ikut politik sudah selesai kuliah mau ikut politik tidak telat dasar mahasiswa,negative
5,makan agam harga makan food stall tambah 10 di kasir suasana ramai perlu perhati dapat parkir tempat duduk,positive
6,pakai kartu kredit baca untung malah rugi besar,negative
7,tempat unik bagus buat foto makan enak pegawai ramah bersih luas wifi kencang harga standar sesuai tempat ada menu masakan makan barat indonesia menu favorit lychee mojito spagheti,positive
8,sama keluarga baru nikmat alam kuliner senang rm sari sunda jalan setiabudhi bandung karena hubung rm sari sunda jalan setiabudhi tulis sini jadi maaf rekan rekan baca ada yang bingung beberapa yang saya suka restoran adalah layan restoran bilang cepat,positive
9,syukur,positive
10,simcard indosat inaktiv gara gara lupa isi pulsa kabar aktif pinda pasca bayar ribet banget,negative
11,sifat iri sering muncul orang orang tidak punya tuju hidup,negative
12,sekadar cerita alam pesan steak grilled beef 200 saji steak 200 sebut 2 potong 100 100 rasa buruk kualitas daging yang buat enggan mes menu beef khusus sirloin lemak terlalu banyak ukur steak masih menu menu yang sangat tempel lidah saran beli menu label cheese lanjut,positive
13,alam sama indosat hari semoga jadi langgan sempat marah marah layan langgan indosat,negative
14,anak sekarang sulit nasehat,negative
15,atas masalah kayak begini anies sandi becus mana pasukan bersih begitu banyak jumlah,negative
16,tiap badan usaha milik negara bentuk undang undang bukan bentuk undang undang,neutral
17,habis puas main trans studio bandung sama teman sepakat makan ayam kakek sini ayam selalu enak gurih,positive
18,rasa bakso cuanki batagor cukup selalu ramai unjung buka jam 10 pagi jalan riau tuju jalan a yani sisi kiri jalan jalan anggrek harga per porsi rupiah 14 0 datang lebih awal selalu ramai unjung,positive
19,sgwr 2018 beri dampak positif hadap hobi anak anak,positive
20,di lembang pandang indah udara sejuk tata resto bagus lengkap makan sangat nikmat pilih menu agam minum lengkap lingkung cocok makan pasang bawa keluarga sama dengan teman lapang parkir luas restoran konsep buka buat udara lembang sangat asa sejuk,positive
21,buka puasa sini minggu lepas pak supir cadang tempat makan makan di sini sedap harga patut tempat luas cantik rekomendasi too others to dine in here to rasa authentic sunda makan indonesia,positive
22,haha suka banget menonton kartun indonesia keluarga pak tomat,positive
23,teman teman sedang kunjung bandung mampir kopi anjis makan makan tidak terlalu berat cilok rakyat teman teh sereh lekker,positive
24,restoran keluarga makan malam akhir bandung jumlah 8 orang bila hanya 400 an benar benar murah riah makan double double makan juga enak suasana kafe tarik layan sangat bagus saya masih ingat tunjuk toilet ada restoran men to the pergi momen are selalu ribut haha timpal,positive
25,alhamdulillah hari tidak jalan bugel kesal kalau tiap hari lewat sana melulu sempit arah macet jadi makan hari hari,negative
26,respon lama sama sayang rem bukan asli rom distrobitor,negative
27,lokasi pandang alam masih natural indah suasana sejuk tenang saja banyak nyamuk harga makan relatif mahal,positive
28,partai demokrasi indonesia perjuangan sebut ridwan kamil menang baju merah,neutral
29,malu memalukan nih oknum tidak tanggung jawab,negative
30,makan siang sini asyik nuansa bal walaupun musik musik sunda kadang musik khas bal ganti tempat enak adem sayang sekali pesan kopi lama banget datang meminta kali kali iya pak iya pak hampir 1 jam ketika kopi datang bukan kopi panas kopi adek kah ciri khas kopi sini kalau khas kopi dingin enak,negative
31,tempat steak bandung sejak lama zaman setiabudi sekarang buka cabang riau tempat riau lebih besar parkir tidak sulit setiabudi lokasi di tempat kuliner jalan riau porsi harga pas ukur steak zoom non smoking nyaman,positive
32,08 30 datang presiden ri rombong gate 2 terminal 3 sambut menteri hubung menteri badan usaha milik negara gubernur banten direktur jenderal perkeretaapian kemhub direktur utama ap2 direktur utama pt dan direktur utama railink,neutral
33,makan tradisional selalu rasa stabil iga garang asam dan java steak jangan lupa coba hidang tutup semua kue enak lemper soes fla gulung enak sekali ada tidak enak kalau makan sini,positive
34,saat rasa batagor masih enak kota bandung banding batagor yang saya pernah coba bumbu kacang pas rasa lidah batagor juga amis bau sila coba yang pernah coba,positive
35,aroma khas ada makan atas daun pisang walau ramai tempat selalu jadi favourit jika bandung,positive
36,akhir tahun lalu keluarga jalan daerah lembang tidak sengaja mampir makan resto suasana nyaman layan ramah lebih ala puas makan saji standar makan restoran umum tetapi buat beda sambal stroberi enak dan bikin tagih di sana makan juga bisa sambil petik lanjut,positive
37,risma jatuh pilih pada gus ipul puti pilihan gubernur jawa timur 2018,neutral
38,alam cukup seru makan alas piring hanya alas daun makin nikmat makan sunda sangat variatif cukup enak tips jangan bawa emosi kalap mes pilih semua makan sedia biasa kalap kalau lihat makan macam macam pilih perlu,positive
39,makan enak suasana nyaman harga bilang sama tempat restoran ada 4 konsep yang paling kenal menu jepang yang enak lah,positive
